-aĉ-;<i>(disparagement)</i>
Kalezo;Calais
kalkuli;calculate, reckon | count
kalkuli;calculate, reckon | count
kalkulo;calculation | bill, account | calculus
kalsoneto;briefs
kalsono;underpants, trunks
kamarado;comrade | mate, pal
kamelo;camel
kameno;fireplace, hearth
kamentubo;chimney
kamioneto;(delivery) van
kamionisto;lorry-driver, truck-driver
kamiono;lorry, truck
kamp(ad)i;camp
kampadejo;camping site
kampadforno;camping stove
kampadgazo;camping gas
kamparo;countryside
kampo;field
Kanado;Canada
kanario;canary
kandidato;candidate
kanguruo;kangaroo
kanti;sing
kapabla;able, capable
kapdoloro;headache
kapjesi;nod (yes)
kapnei;shake ones head (no)
kapo;head
kapoto;bonnet, hood (of car)
kapti (la sencon);grasp (the meaning)
kara;dear
karamelo;caramel
karapaco;carapace, (tortoise's) shell
karbo;coal
karburilo;carburettor
kareo;curry (powder | dish)
kariero;career
kariofilo;clove (spice)
karoto;carrot
karto;card
kartono;cardboard, pasteboard
kasedaparato;cassette player
kasedaparato;cassette player
kasedo;(tape) cassette
kasedo;cassette
kasejo;cash desk
kaserolo;saucepan, stew-pan
kasisto;treasurer | cashier
kaskedo;(peaked) cap
kaŝtano;chestnut
kastelo;castle
kastelo;castle
kataplasmo;poultice
katedralo;cathedral
kategorio;category
kato;cat
katoliko;catholic
katuno;cotton (fabric)
kaŭĉuko;rubber
kaŭzo;cause
kazino;casino
ke;that
keletaĝo;basement
kelkaj;some, a few
kelke;severally
kelnero;waiter
kelnero;waiter
kelo;cellar
kemio;chemistry
kermeso;kermis, village fair
kesto;chest, (largish) box
kia;what kind (of), what (a)
kial;why
kiam;when
kie;where
kiel;how | as, like
kiel vi vin sentas?.....;"how do you feel?"
kien;where (to), whence
kies;whose | of which
kilogramo;kilogram
kilometro;kilometre
kimra;Welsh
Kimrio;Wales
kimro;Welshman
kinejo;cinema
kio;what
kiom;how much | how many
kiosko;kiosk
kipro;kipper
kirli;stir
kiu;who | which (one) | that
klara;clear, plain
klarigi;clarify, explain
klarigi;clarify | explain
klarneto;clarinet
klasika;classic | classical
klaso;class
klerigado;education
klerulo;cultured, educated person
kliento;client | customer
klifo;cliff
klimato;climate
klopodi;take steps (to), endeavour, set about
klubo;club (society)
kluĉi;couple, engage
kluĉilo;clutch (of car)
knabino;girl
knabo;boy
kobajo;guinea-pig
kofro;trunk, coffer | boot (of car)
kokidaĵo;chicken
koko;cock, rooster
kokoso;coconut
kolbaso;sausage
kolegio;college
kolego;colleague | schoolfellow
kolekti;collect | gather <i>(tr)</i>
koleri;be angry (with)
kolo;neck
Kolombio;Colombia
koloro;colour
koloro;colour
kolporti;hawk, peddle
koltuko;scarf
kombi;comb
kombilo;comb
komedio;comedy
komenci;begin <i>(tr)</i>
komerco;commerce, business
komerco;commerce, business
komitatano;committee member
komitato;committee
komizo;(shop) assistant | clerk
komo;comma, (decimal point)
kompari;compare <i>(tr)</i>
komplemento;complement
kompoto;compote, stewed fruit
kompreneble;of course
kompreni;understand, comprehend
komputero;computer
komputilo;computer | calculator | meter
komunisto;communist
konatiĝi (kun);become acquainted (with)
konato;acquaintance
koncepto;concept
koncertejo;concert hall
koncerto;concert
kondiĉo;condition
konduki;lead | bring | drive (a vehicle)
kondukpermesilo;driving licence
konduktoro;conductor
konduti;behave
konfesi;confess
konfitaĵo;jam, preserve(d) fruits
konfuzi;confuse
kongresa libro;congress (guide) book
kongresano;congress member, attendee
kongresejo;congress hall, site
kongreso;congress, convention
koni;know, be acquainted with
konjako;cognac, brandy
konservativa;conservative
konservi;keep | preserve
konsideri;consider
konsili;advise
konsili;advise
konstanta;constant, permanent | standing
konstruaĵo;building
konstruaĵo;building
konsulejo;consul
konsulthoroj;(doctor's surgery) hours
kontaĝo;contagion
kontaktilo;circuit breaker | (electrical) connector
kontaktskatolo;(electrical) socket
kontinento;continent
konto;account
konto;account
kontraŭ;against | opposite | (in exchange) for, contrary to
kontraŭi;be opposed (to)
kontroli;check | audit, examine | supervise | verify
kontuzi;bruise <i>(tr)</i>
kopeko;(Russian) copek, kopeck (small coin), =<sup>1</sup>/<sub>100</sub> rouble
kopii;copy
Korano;Koran
korbo;basket
korekti;correct
korespondanto;correspondent
korespondi;correspond (exchange letters)
koridoro;corridor
korko;cork
korktirilo;corkscrew
koro;heart
korpo;body
kosti;cost
kotizo;subscription fee, dues
kotleto;cutlet, chop
koverto;envelope
koverto;envelope
kovri;cover
kovri;cover
kovrilo;lid | cover (of bed, book, <i>etc.</i>)
krabo;crab
krajono;pencil
kramfo;cramp
krano;tap, faucet
kravato;tie
kredi;believe
kreditkarto;credit card
kredito;credit
kredito;credit
kremaĵo;custard
kremo;cream
kreskaĵo;plant
kreski;grow <i>(intr)</i>
krespo;pancake
krestomatio;chrestomathy, anthology, reader
kreto;chalk
krevi;burst <i>(intr)</i>
krii;cry, call out
kriketo;cricket
krimo;crime
krispa;crimped, frilly
kristano;Christian
kristnasko;Christmas
Kristo;Christ
kritiki;criticise
krokodili;speak national language at E-o meeting
krom;besides, apart from
krompago;bonus, excess, extra payment
krono;crown | (Denmark, Norway, Sweden) kroner (currency)
kruĉo;jug
kruro;leg (shank - knee to foot)
kruta;steep
kruzejro;(Brazilian) cruzeiro (currency)
kudri;sew
kuirejo;kitchen
kuirforno;(cooking) stove, oven
kuiri;cook
kuko;cake
kukolhorloĝo;cuckoo clock
kukumo;cucumber
kukurbo;pumpkin | marrow, squash
kulero;spoon
kulpa;guilty, to blame
kulturfilmo;cultural film, art-house film
kulturo;culture
kumino;cumin
kun;with
kun tio;with that
kune;together
kuniklo;rabbit
kunligitaj (domoj);terraced (houses)
kunmetita;compound
kunvenejo;meeting place
kunveno;meeting
kupeo;(railway) compartment | coupé
kuracejo;doctor's
kuracisto;doctor
kuri;run
kurteno;curtain
kurzo;rate of exchange
kuseno;cushion
kuŝi;lie, recline
kustardo;custard
kutime;usually
kuzino;(female) cousin
kuzo;(male) cousin
kvalif(ik)i;qualify <i>(tr)</i>
kvalito;quality
kvankam;although
kvar;four
kvarono;quarter
kvartalo;quarter (part of city)
kvieta;quiet, calm | docile
kvin;five
kvitanco;receipt
L.K.K.;<i>Loka Kongresa Komitato</i> = Local Congress Organising Committee
la;the
laboratorio;laboratory
laborejo;workplace
laborema;industrious
labori;work, labour
laborilo;(work) tool
laboro;work
laca;tired
laĉo;(shoe) lace
lago;lake
lago;lake
lakto;milk
laktuko;lettuce
lampo;lamp
landlimo;frontier | border
lando;country
lando;(a) country
lango;tongue
lango;tongue
lango;tongue
lano;wool
lanugaĵo;eiderdown, duvet
lardo;bacon
lasi;leave | let
lasta;last, most recent
latino;Latin
laŭ;according to | along
laŭdi;praise
laŭsence;according to sense of, not literally
laŭtparolilo;loudspeaker
laŭvorte;literally, verbatim, word for word
lavbroso;scrubbing brush
lavi (sin);wash (oneself) <i>(tr)</i>
lavkuvo;wash tub
lavmaŝino;washing machine
lavtuko;washing-up cloth
leciono;lesson
ledo;leather
legi;read
legi;read
legomisto;greengrocer, vegetable seller
legomo;vegetable
leki;lick
leono;lion
leopardo;leopard
lepto;(Greek) mite (small coin)
lernanto;pupil
lernejestro;headmaster
lernejo;school
lerni;learn
lernobjekto;subject (of study)
lernolibro;textbook
lertulo;skilled person
lesivo;lye, washing solution
lesivpulvoro;detergent
leterkesto;letterbox
leterpapero;letter-writing paper
leterportisto;postman, mailman
li;he
lia;his
libera;free
libro;book
liceo;6<sup>th</sup> form college (16+), lycée
lifto;lift, elevator
ligno;wood
ligno;wood, timber
ligo;league | connection
likva;liquid
limonado;lemonade
lingvaĉo;gibberish, jargon, jabber
lingvaĵo;dialect, form of speech
lingvo;language
liniilo;ruler
lipharoj;moustache
lipo;lip
liro;(Italian) lira (currency) | lyre
listo;list
litero;letter (of the alphabet)
literumi;spell
lito;bed
litro;litre
littuko;sheet
litvagono;sleeping car (on train)
liveri;deliver | supply, furnish
loĝada servo;room service
loĝado;lodging(s) | abode
loĝejo;lodgings, residence
loĝi;live, dwell | inhabit, stay (in hotel)
loĝi;live, dwell | inhabit
loĝi;live, inhabit
logiko;logic
loko;place
loko;place
lokomotivo;locomotive, (railway) engine
Londono;London
longa;long
longdistanca;long-distance
ludi;play
ludilo;toy
ludkarto;playing card
ludo;game
lui;rent, hire (from someone)
Luksemburgo;Luxembourg
lukso;luxury
lukso;luxury
lumigi;illuminate
lumo;light
lundo;Monday
luno;moon
lupo;wolf
M.A.;<i>Membro-Abonanto</i> = Subscribing Member
M.S.;<i>Membro-Subtentanto</i> = Supporting Member
maĉo;match, game
magazeno;(large) shop, store | magazine (of fire-arm, camera)
Mahometo;Mohammed
maizflokoj;cornflakes
maizo;maize, (sweet)corn
majo;May
majonezo;mayonnaise
majstro;master(-craftsman), maestro
makaronio;macaroni
mal-;<i>(opposite meaning)</i>
maleolo;ankle
maleolo;ankle
malfermi;open
malfermilo;opener
malfermita;open
malgraŭ;in spite of, despite
malmultekosta.....;cheap
malpaki;unpack
malpermesata;forbidden
malplenigi;empty
malsanulejo;hospital | infirmary
malsata;hungry
malsati;be hungry
malsupera;below
maltrafi;miss (<i>e.g.</i> train, target, <i>etc.</i>)
malvarmumo;cold (illness)
malvesti (sin);undress (oneself)
mamzono;bra
manĝaĵo;food
manĝejo;dining room
manĝi;eat
manĝoĉambro;dining room
manĝoprovizo.....;food supply
maniero;manner, way
Manikaj Insuloj;Channel Islands
manki;be lacking, deficient, fail | be absent
mano;hand
manometro;manometer, pressure gauge
mansako;handbag
mansardo;attic
mantelo;coat | cloak
mantuko;(hand) towel
mapo;map
marbordo;(sea)shore
mardo;Tuesday
maristo;sailor
marko;(German) mark (currency)
markolo;channel
marmalsano;sea sickness
marmelado;jam (<i>inc.</i> marmalade)
maro;sea
marŝi;march | walk
marto;March
matĉo;match, game
matematiko;mathematics
matenmanĝo;breakfast
mateno;morning
mato;mat
matraco;mattress
matureco;maturity
meblo(j);furniture
medikamento;medicine, medicament
Mediteraneo;Mediterranean
mejlo;mile
mekanikisto;mechanic
meleagro;turkey
melongeno;aubergine, egg-plant
melono;melon
mem;-self, -selves
membro;limb | member
membro;member | limb
memfarado;DIY
memfida;confident
memkritiki;self-criticise
memoraĵo;souvenir
memori;remember
memoro;memory
memserva;self-service
memservado;self-service
memstare;independently
mendi;order | book
mendo;order | booking
mensogi;(tell a) lie
menstrua tuko;sanitary towel
mento;mint (plant | flavour)
menuo;menu
meringo;meringue
meriti;deserve, merit
merkredo;Wednesday
metalo;metal
metalo;metal
meteobulteno;weather bulletin
meti;put
meti;put, place
metiejo;workshop, craft shop
metiisto;(handi)craftsman, tradesman
metio;(handi)craft, trade
metro;metre
mezgrada;middle grade
mezlernejo;secondary school (11 - 15)
mezo;middle
mi;I, me
mi petas;"please"
mia;my
miaŭi;mew, miaow
mielo;honey
mieno;mien, look, expression
mikrofono;microphone
mikroskopo;microscope
milda;mild, gentle
milda;mild, gentle
ministo;miner
minuto;minute
mis-;<i>(mis-)</i>
moderna;modern
modesta;modest
momento;moment
monarkio;monarchy
monero;coin
monero;coin
mono;money
mono;money
monpuno;fine
monŝanĝejo;bureau de change
montaro;highlands, (mountain) range
montaro;highlands, mountains
monto;mountain
monto;mountain
montopinto;mountain peak, summit
monujo;purse
monumento;monument
mopedo;moped
morgaŭ;tomorrow
moroj;mores, customs
morti;die
mortinta;dead
moruo;cod
motorciklo;motorcycle, motorbike
motoro;motor | engine
multa(j);much, many
multe (da);a lot (of)
multekolora;multicoloured
multekosta;expensive
multekosta;expensive
multetaĝa aŭtoparko;multi-storey car-park
Munkeno;Munich
murmuri;murmur
muro;wall
muskato;nutmeg
muso;mouse
muŝo;fly
mustardo;mustard
muzeo;museum
muziko;music
nacia;national
naĝbaseno;swimming pool
naĝi;swim
najbaro;neighbour
naskiĝfesto;birthday party
naskiĝi je/en;be born at/in
naskiĝtago;birthday
natura;natural
naturo;nature
naŭ;nine
nazo;nose
nazsangado;nosebleed
naztuko;handkerchief
ne;no, not
ne;no
ne dankinde;"don't mention it"
ne gravas;"it's not important"
ne longe;recently
ne plu;no longer, no more
nebulo;fog
necesa;necessary
neceseja papero;lavatory paper
necesejo;lavatory
nederlanda;Dutch
nederlandano;Dutchman
Nederlando;Netherlands
nedeviga;optional
neĝbulo;snowball
neĝhomo;snowman
neĝo;snow
negocisto;businessman, trader
nek... nek;neither... nor
nenia;no kind of
nenial;for no reason
neniam;never
nenie;nowhere
neniel;in no way, not at all, by no means
nenien;to nowhere
nenies;no one's
nenio;nothing
neniom;none
neniu;nobody, no-one | neither | none
neperfekta;imperfect
nepino;granddaughter
nepo;grandson
nepre;without fail | absolutely
nervo;nerve
nervoza;nervous
netrinkebla;undrinkable
neŭtrala;neutral
nevino;niece
nevo;nephew
ni;we, us
nia;our
nigra;black
nilona;nylon
nivelpasejo;level crossing
No.J.E.F.;<i>Norwich Junulara Esperanto Fonduso</i> = Norwich Youth E-o Fund
nokto;night
noktomezo;midnight
nomiĝi;be called
nomo;name
norda maro;North Sea
nordo;North
Norvegio;Norway
noti;note | mark, grade
noto;note | mark, grade
novaĵfilmo;newsreel
novelo;short story, novella
novembro;November
novjaro;new year
nu;well! now!
nubo;cloud
nudelo;noodle
nukso;nut
nul;zero, nil
numero;number (as identifier)
nun;now
nur;only
nutraĵoj;food | nourishment
nutri;feed | nourish <i>(tr)</i>
obei;obey
objekto;object | thing | subject (of study)
oceano;ocean
oero;(Danish) öre (small coin)
oferti;(mainly commercial) offer | bid
oficeja bloko;office block
oficejo;office, bureau
oficejo;office, bureau
oficiala akcepto;official reception
oficiala bulteno;official bulletin
ofte;often
ok;eight
okazi;occur, happen
okcidento;West
oktobro;October
okulharo;eyelash
okulisto;oculist (eye doctor)
okulo;eye
okulvitroj;glasses, spectacles
okupi;occupy
okupita;busy, engaged, occupied
okupita;occupied, busy, engaged
okupo;occupation
ol;than
oleo;oil
oleo;oil
omaro;lobster
ombrelo;umbrella | parasol
ombro;shadow | shade
omleto;omelette
ondo;wave
oni;one, people, they, we, you
onia;ones
onklino;aunt
onklo;uncle
operacio;operation
opinii;think, have an opinion on, opine
optikisto;optician
oranĝa;orange
oranĝo;orange
ordema;methodical
orelo;ear
orfiŝo;goldfish
oriento;East
origano;oregano (herb)
orkestro;orchestra
oro;gold
ostrompiĝo;fracture
ovingo;egg cup
ovkirlaĵo;scrambled egg
ovo;egg
pacema;peaceful
paciento;patient
pacifiko;Pacific
paĉjo;dad
paco;peace
pado;path | (traffic) lane
pafilo;gun
pagi;pay
paĝo;page
pagponto;toll-bridge
pajnto;pint
pakaĵo;bale, bundle, pack(age), parcel
pakaĵricevejo;parcel office, (left) luggage office
paki;pack
Pakistano;Pakistan
pala;pale
palaco;palace
palto;coat, overcoat
panbutiko;bread shop
panei;(mechanical) break down
paneo;breakdown, mechanical failure
panjo;mum
pano;bread | loaf
panoramo;panorama
panoramo;panorama
pansaĵo;dressing
pantalono;trousers
pantoflo;slipper
papago;parrot
papero;paper
papo;pope
papriko;paprika
pardoni;forgive, pardon
pardonpeti;beg forgiveness, be sorry
pardonu (min).....;pardon (me)
parenco;relative, relation
parentezo;parenthesis
parfumo;perfume
parfumo;perfume
Parizo;Paris
parkejo;car park
parkejo;lay-by | carpark
parkere;by heart
parki;park
parko;park
parko;park
parkometro;parking meter
parlamentejo;houses of parliament
parlamento;parliament
paro;pair
parolado;speech
paroli;speak, talk
paroli;speak, talk
parolilo;(loud)speaker
partero;stalls, pit (of theatre)
partio;(political) party, side | faction
partopreni;participate
pasaĝero;passenger
pasejo;pass, passage | gangway
pasigi;spend (time)
pasko;Easter, Passover
pasporto;passport
pasteĉo;pie | pasty
pastoro;pastor
pastro;priest, clergyman, minister
patelo;patella, knee cap | limpet
patrino;mother
patro;father
paŭzo;pause, break | interval
peco;piece, bit
pedalo;pedal
Pekino;Peking
pekli;(to) salt
pelvo;basin, bowl | pelvis
penco;(British) penny (small coin), =<sup>1</sup>/<sub>100</sub> pound
penetri;penetrate
peni;try, endeavour
penio;(Finnish) penny (small coin), =<sup>1</sup>/<sub>100</sub> mark
pensi;think
pensionato;finishing school
pensiono;boarding house, pension
pensiulo;pensioner
pentekosto;Pentecost, Whit
pentri;paint (a picture, art, <i>etc.</i>)
per;by (means of), with, through
perdi;loose
perdi;lose
perditaj objektoj.....;lost property (office)
perfekta;perfect
perlabori;earn
permesata;allowed
permesi;allow, permit
permesi;allow, permit
persiko;peach
persona;personal
persono;person | personality
persono;person
Peruo;Peru
peseto;(Spanish) peseta (currency)
pesi;weigh (measure weight)
peso;(South American) peso (currency)
peston!;"a plague, pestilence!"
peti;ask, request, beg
petroselo;parsley
petveturi;hitch-hike
peza;heavy
pezi;weigh (have weight)
pfenigo;(German) pfennig (small coin), =<sup>1</sup>/<sub>100</sub> mark
piano;piano
piede;by foot, on foot
piedfingro;toe
piediranto;pedestrian
piedo;foot
piĵamo;pyjama(s)
pika;piquant, sharp, bitter
pikloj;pickles
pikniki;picnic
pikniko;picnic
pilko;ball
pilolo;pill
pingveno;penguin
pipo;(tobacco-)pipe
pipro;pepper
pipromento;peppermint
piro;pear (fruit)
pizo;pea
plaĉi (al);please, be pleasing (to)
placo;(public) square, piazza
plado;dish, platter | course
plafono;ceiling
plaĝo;bathing beach
planita;planned
planko;floor
plano;plan
plasto;plastic (material)
plasto;plastic (material)
plastro;plaster (dressing)
plata;flat
plena;full
plendi;complain
plenigi;fill
plenigi;fill up
plenplena;chock-a-block
plentaso;cupful
plenumi;fulfil
plenumi;fulfil
pli;more
pli laŭte;louder
plibonigi;improve
plonĝi;dive, plunge
plori;weep, cry
pluvduŝo;rainshower
pluvmantelo;raincoat
pluvo;rain
pneŭ(matik)o;tyre
po;at the rate of, each
poĉi;poach (<i>e.g.</i> an egg)
poemo;poem
poento;point (in scoring), mark
poezio;poetry
pokalo;goblet | cup (trophy)
pola;polish
policejo;police station
policisto;policeman
policisto;policeman
polico;police
Polio;Poland
polo;Pole
polvosuĉilo;vacuum cleaner
pomo;apple
pop(ular)a;pop
por;for (to do)
por fumantoj;for smokers
por ke;so thay, in order to
por nefumantoj;for non-smokers
porcio;portion
pordo;door
poreo;leek
porkaĵo;pork
porko;pig
portebla;portable
porti;carry | wear
portisto;porter
Portugalio;Portugal
portugalo;Portuguese man
posedi;posess, own
poŝmono;pocket money
post;after | behind
poŝtejo;post office
poŝtkarto;postcard
poŝtkarto;postcard
poŝtmandato;postal order
poŝtmarko;(postage) stamp
postmorgaŭ;day after tomorrow
poŝtoficejo;post office
poŝtrestante;to be called for, collected
poŝtuko;handkerchief
postuli;demand, require
povi;be able
pra-;<i>(remoteness in time)</i>
praktika;practical
praktiki;practise
pram(ŝip)o;ferry, flat-bottomed boat
pravi;be right (in opinion, argument)
pravi;be (morally) right, win argument
precipitaĵo;precipitation
preciza;precise, accurate
preferata;preferred
preferi;prefer
prefikso;prefix
preĝejo;church | place of worship
prelego;lecture, talk
premi;press | oppress
premmezurilo;pressure gauge
premo;pressure
preni;take
prepari;prepare
preskaŭ;almost
preter;(straight) past, by | beyond
prezentado;presentation
prezenti;present | introduce | represent | depict | constitute
prezenti;present | introduce | represent | depict
prezo;price
prezo;price
pri;about, concerning
principo;principal
printempo;spring(time)
printempo;spring(time)
priskribi;describe
priskribi;describe
privata;private
prizorgi;take care of, look after
pro;for, because of, owing to | (in exchange) for
problemo;problem
problemo;problem
problemo;problem
profesio;profession
programo;programme
progresi;progress
progresi;progress <i>(intr)</i>
progreso;progress
proksima;near, nearby
proksimuma;approximate
promeni;go for a walk, a drive, a ride <i>etc.</i>
promesi;promise
prononci;pronounce
proponi;propose | offer
prospekto;prospectus
protekti;protect | back, help (a protégé)
protestanto;Protestant
protokolisto;minute-taker
protokolo;minutes (of a meeting)
provi;try | try out | test
provvesti;try on (clothes)
pruno;plum
pruntovorto;loan-word (origin in another language)
publika;public
pudingo;pudding
pulmo;lung
pulov(e)ro;pullover
pulso;pulse
punĉo;punch (drink)
pundo;(British) pound, £ (currency)
puni;punish, penalise
puni;punish, penalise
punkto;point, dot | full stop | moment
pupitro;(sloping-top) desk | lectern
pupo;doll
pura;clean | pure
purigi;clean
puŝu!;"push!"
rabato;rebate, reduction, discount
radiatoro;radiator
radiko;root
radio;radio
radio(fono);radio
radiografio;radiography
radioskopio;radioscopy (x-rays)
rado;wheel
raguo;ragout, stew
rajdi;ride (horse, bicycle, <i>etc.</i>)
rajti;be entitled to, have the right to
rajto;(a) right
rakedo;racquet
rakonti;tell (a story), narrate
rakonto;story, tale, narrative
rapidometro;speedometer
rapidtrajno;fast train
raporti;report
raso;race | breed, stock
razeno;lawn
razi;shave <i>(tr)</i>
razilo;razor
re-;<i>(in return | again)</i>
recepto;recipe | prescription
redakti;edit | draft, draw up
redoni;give back, return, render <i>(tr)</i>
refreŝigaĵoj;refreshments
regali;entertain, treat
regali;entertain, treat
reĝimo;regime
regiono;region
regiono;region
registri;register, record
registrita;recorded | registered
regno;state, realm, kingdom
reĝo;king
regularo;(set of) rules
regulo;rule
Rejno;Rhine
reklamo;advertisement
rekomendi;recommend
rekta;straight | direct
rekte antaŭen.....;straight on, forwards
religio;religion
remi;row
ren(aĵ)o;kidney
rendevuo;rendezvous | appointment
renkonti;meet | encounter <i>(tr)</i>
renkontiĝo;meeting
reno;kidney
repagi;repay
resaniĝi;heal up
respondeci;be responsible (for)
respondi;reply, answer | correspond
respubliko;republic
resti;remain, stay
restoracio;restaurant
restoracio;restaurant
restoracivagono;restaurant car
reteni;hold back, retain
reto;net | network
reto;net | network
revenbileto;return ticket, round-trip ticket
revuo;review, journal | revue
revuo;review, journal | revue
rezervejo;reserved place
rezervi;reserve
rezidi;reside
rezigni;forgo, renounce | give up
rezulto;result
riĉa;rich
ricevi;receive, obtain | catch (a disease)
ricevi;receive, obtain | catch (a disease)
ricevilo;(<i>e.g.</i> telephone) receiver
rideti;smile
ridi;laugh
ridi;laugh
ridi;laugh
rifuzi;refuse
rifuzi;refuse
rigardi;look at | consider, deem
riglilo;(door) bolt
rigora;rigorous, stringent
ringo;ring
ringo;ring
rinocero;rhinoceros
ripari;repair, mend
ripeti;repeat
ripozi;rest, repose
riproĉi;reproach, tell off | blame
ristorni;refund
ristorno;refund
rivereto;stream
rivero;river
rivero;river
rizkaĉo;rice pudding
rizo;rice
robo;dress
rolo;rôle, part
romano;novel
rompi;break <i>(tr)</i>
rompita;broken
rondirejo;(traffic) roundabout
rostbefo;roast beef
rostpano;toast
roz(kolor)a;pink
rublo;(Russian) rouble (currency)
rubujo;dustbin
rubuso;blackberry
rufa;ginger, red (hair)
ruĝa;red
ruĝa beto;beetroot
rugbeo;rugby, rugger
ruĝigilo;rouge (make-up)
ruldomo;caravan
rulkurteno;(roller) blind
rulŝtuparo;escalator
rumo;rum
rusa;Russian
ruso;Russian
s-ino;Mrs
s-ro;Mr
S.A.T.;<i>Sennacieca Asocio Tutmonda = </i>World Non-nationalist Association
S.A.T.E.B.;<i>Sennacieca Asocio Tutmonda en Britio</i> = World Non-nationalist Association in Britain
sabato;Saturday
sablo;sand
ŝafidaĵo;lamb
ŝafo;sheep
safrano;saffron
ŝajni;seem, appear
sakarino;saccharine
sako;sack | bag | sac
ŝako;chess | check(mate)
sakstrato;blind alley, cul-de-sac
salajro;salary, wages
salamo;salami
salato;salad
salmo;salmon
salo;salt
salono;drawing room, lounge | salon | saloon
salti;jump, leap
ŝalti;switch on
ŝaltilo;switch
saluton!;"hello!"
sama;same
same al vi;"(and) the same to you!"
samideano;fellow-thinker (<i>i.e.</i> Esperantist)
ŝampinjono;(common edible) mushroom
ŝampuo;shampoo
sana;well, healthy
sandalo;sandal
sandviĉo;sandwich
ŝanĝejo;changing room
ŝanĝi;change <i>(tr)</i>
ŝanĝi;change <i>(tr)</i>
ŝanĝiĝema;changeable
sango;blood
sapo;soap
sata;full, satiated
ŝati;prize, think well of | like
ŝatokupo;hobby, pastime
saŭco;sauce
scenejo;stage
sceno;scene
scienco;science | learning
scii;know (a fact | how to)
scipovi;know (a language, how to ..., <i>etc.</i>)
se;if, supposing
sed;but
seĝo;chair
seka;dry
sekigi;dry
sekigtuko;drying-up cloth, tea-towel
sekretario;secretary
sekretario;secretary
sekso;sex
sekundo;second (of time | of arc)
sekurzono;seat belt, safety belt
sekvanta;following
sekvi;follow
selo;saddle
ŝelo;peel, bark, shell, rind
semaforo;semaphore (signal)
semajnfino;weekend
semajno;week
semestro;semester, half-year
seminario;seminar | seminary, training college
semolino;semolina
sen;without
senĉese;ceaselessly
senco;sense (meaning | direction)
sendi;send
sendi;send
sendi ;send
sendinto;sender
sendinto;sender
sendube;doubtless
senerara;correct
senerare;perfectly, without mistakes
senfine;endlessly, unending
senhalte;without stopping
senkulpigi;acquit, excuse, exonerate
senlabora;unemployed
senmona;broke
seno;(Japanese) sen (small coin), =<sup>1</sup>/<sub>100</sub> yen
senpaga;free | gratis
senrezulta;draw
sensalajra;unemployed
senŝeligilo;(<i>e.g.</i> potato) peeler
sensencaĵo;nonsense
senspira;breathless
senti;feel <i>(tr)</i>
senvestiĝi;undress
sep;seven
septembro;September
serĉi;look for, seek
serena;serene, calm
ŝereo;sherry
serioza;serious, earnest
serpento;snake
seruro;lock
servi;serve
servi;serve
servisto;servant
servostacio;service station
servu (vin);help yourself
ses;six
sezono;season (of the year)
si;(<i>reflexive pronoun</i>) oneself (<i>etc.</i>)
ŝi;she
sia;(<i>reflexive pronoun</i>) ones (<i>etc.</i>)
ŝia;her(s)
sidi;sit, be sitting
sidiĝi;sit down
sidiĝi;sit down
signalo de okupiteco;engaged signal/tone
signifi;mean, signify
silabo;syllable
silenti;be silent
ŝilingo;(Austrian) shilling (currency)
silko;silk
simio;monkey
simpatia;likeable, congenial
simpatio;liking, fellow-feeling
simptomo;symptom
sinagogo;synagogue
sincere;sincerely
sindikato;syndicate | trades union
sinjorino;Mrs, mistress
sinjoro;Mr, mister
sintakso;syntax
sinteno;attitude
sinteno;attitude
ŝipo;ship
siropo;syrup
sitelo;bucket, pail
situi;be situated
skatolmalfermilo;can opener
skatolo;box, case, tin (can)
skeptika;sceptical | cynical
sketi;skate
skii;ski
skolto;scout
skotero;motor-scooter
Skotlando;Scotland
skoto;Scotsman
skrapgumo;eraser, rubber
skriba;written
skribi;write
skribi;write
skribi;write
skribi;write
skribilo;pen
skribmaŝino;typewriter
ŝlagro;hit song
slango;slang
ŝlifŝtonoj;eroded stones
slojdo;sloyd (manual training)
ŝlosilo;key
ŝminko;make-up
ŝmiri;anoint, smear | spread (butter <i>etc.</i>) | grease | bribe
socia;social
socialisto;socialist
societo;(a) society
sofo;sofa
ŝoforo;driver, chauffeur
soifa;thirsty
soifi;be thirsty
soifo;thirst
sojlo;threshold | sill
soldato;soldier
soleo;sole (fish)
solvebla;soluble
somero;summer
somero;summer
sonbendo;tape (recording)
sonorilo;bell
sortimento;assortment
ŝoseo;roadway | (high)road
sovetio;Soviet (lands)
ŝovi;push along, slide <i>(tr)</i> | shove
spageto;spaghetti
sparadrapo;(surgical) adhesive tape
ŝpari;save (money, <i>etc.</i>) | economise
ŝpari;save (money, <i>etc.</i>) | economise
sparkilo;sparking-plug
ŝpato;spade
ŝpato;spade
speciala;(e)special
speco;kind, sort
spegulo;mirror
spegulo;mirror
spektaklo;spectacle, display
spektantaro;audience
sperta;experienced, expert
spico;spice
spinaco;spinach
spiri;breath
spongo;sponge
sporada;sporadic
sportema;sporty
sportema;sporty
sporto;sport
ŝranko;cupboard
stacidomo;(railway) station (building)
stadiono;stadium
stadiono;stadium
stalo;stall, shed, stable
stari;stand <i>(intr)</i>
stariĝi;stand up
starigi tendon;pitch a tent
starlampo;standard lamp
starpunkto;standpoint, viewpoint
startigilo;starter
ŝtata;state
stato;state, condition
